discipline_group,sample_size,qualified_teams,mean_cards,median_cards,standard_deviation,qualification_percentage,ci_lower,ci_upper
2 or more,8,3,2.33,2.33,0.36,37.5,13.68,69.43
Fewer than 2,28,23,1.02,1.33,0.56,82.14,64.41,92.12
